2024-08-27T13:46:20.602-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:46:20.609-0500	INFO	base/model.go:711	Compiled material. Material_user_default_id_stitcher_1551cc21_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.610-0500	INFO	base/model.go:711	Compiled material. Material_user_all_e99cb381_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.615-0500	INFO	base/model.go:711	Compiled material. Material_user_main_id_5f04745a_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.616-0500	INFO	base/model.go:711	Compiled material. Material_user_var_table_9f95e1be_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.622-0500	INFO	base/model.go:711	Compiled material. Material_days_active_74aa05e9_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.626-0500	INFO	base/model.go:711	Compiled material. Material_last_seen_7b92241d_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.629-0500	INFO	base/model.go:711	Compiled material. Material_first_seen_8ee49199_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:20.632-0500	INFO	base/model.go:711	Compiled material. Material_user_lifespan_5b965bef_4 to /Users/chandu/dev/rudderlabs/pb/testing/snowflake-pb/output/dev/seq_no/4/compile. 


2024-08-27T13:46:21.292-0500	INFO	base/material.go:740	Preparing material Material_rsTracks_var_table_e3351b8c_4

2024-08-27T13:46:21.733-0500	INFO	base/material.go:822	Running material Material_rsTracks_var_table_e3351b8c_4

2024-08-27T13:46:24.404-0500	INFO	base/material.go:881	Material Material_rsTracks_var_table_e3351b8c_4 ran in 2.670567667s

2024-08-27T13:46:25.744-0500	INFO	base/material.go:740	Preparing material Material_user_default_id_stitcher_1551cc21_4

2024-08-27T13:46:26.511-0500	INFO	base/material.go:822	Running material Material_user_default_id_stitcher_1551cc21_4

2024-08-27T13:46:26.517-0500	WARN	base/material.go:452	this.DeRef with pre_existing as true can only be used with incremental models

2024-08-27T13:46:44.791-0500	INFO	base/material.go:881	Material Material_user_default_id_stitcher_1551cc21_4 ran in 18.279324375s

